' '         = 00
MUS_RG_VS_WILD = 80 FE 01
MUS_RG_VS_CHAMPION = FF 01
MUS_RG_PALLET = 00 02
MUS_RG_OAK_LAB = 01 02
MUS_RG_OAK = 02 02
MUS_RG_POKE_CENTER = 03 02
MUS_RG_SS_ANNE = 04 02
MUS_RG_SURF = 05 02
MUS_RG_POKE_TOWER = 06 02
MUS_RG_SILPH = 07 02
MUS_RG_FUCHSIA = 08 02
MUS_RG_CELADON = 09 02
MUS_RG_VICTORY_TRAINER = 0A 02
MUS_RG_VICTORY_WILD = 0B 02
MUS_RG_VICTORY_GYM_LEADER = 0C 02
MUS_RG_VERMILLION = 0D 02
MUS_RG_PEWTER = 0E 02
MUS_RG_ENCOUNTER_RIVAL = 0F 02
MUS_RG_RIVAL_EXIT = 10 02
MUS_RG_DEX_RATING = 11 02
MUS_RG_OBTAIN_KEY_ITEM = 12 02
MUS_RG_CAUGHT_INTRO = 13 02
MUS_RG_PHOTO = 14 02
MUS_RG_GAME_FREAK = 15 02
MUS_RG_CAUGHT = 16 02
MUS_RG_NEW_GAME_INSTRUCT = 17 02
MUS_RG_NEW_GAME_INTRO = 18 02
MUS_RG_NEW_GAME_EXIT = 19 02
MUS_RG_POKE_JUMP = 1A 02
MUS_RG_UNION_ROOM = 1B 02
MUS_RG_NET_CENTER = 1C 02
MUS_RG_MYSTERY_GIFT = 1D 02
MUS_RG_BERRY_PICK = 1E 02
MUS_RG_SEVII_CAVE = 1F 02
MUS_RG_TEACHY_TV_SHOW = 20 02
MUS_RG_SEVII_ROUTE = 21 02
MUS_RG_SEVII_DUNGEON = 22 02
MUS_RG_SEVII_123 = 23 02
MUS_RG_SEVII_45 = 24 02
MUS_RG_SEVII_67 = 25 02
MUS_RG_POKE_FLUTE = 26 02
MUS_RG_VS_DEOXYS = 27 02
MUS_RG_VS_MEWTWO = 28 02
MUS_RG_VS_LEGEND = 29 02
MUS_RG_ENCOUNTER_GYM_LEADER = 2A 02
MUS_RG_ENCOUNTER_DEOXYS = 2B 02
MUS_RG_TRAINER_TOWER = 2C 02
MUS_RG_SLOW_PALLET = 2D 02
MUS_RG_TEACHY_TV_MENU = 2E 02
PH_TRAP_BLEND = 2F 02
PH_TRAP_HELD = 30 02
PH_TRAP_SOLO = 31 02
PH_FACE_BLEND = 32 02
PH_FACE_HELD = 33 02
PH_FACE_SOLO = 34 02
PH_CLOTH_BLEND = 35 02
PH_CLOTH_HELD = 36 02
PH_CLOTH_SOLO = 37 02
PH_DRESS_BLEND = 38 02
PH_DRESS_HELD = 39 02
PH_DRESS_SOLO = 3A 02
PH_FLEECE_BLEND = 3B 02
PH_FLEECE_HELD = 3C 02
PH_FLEECE_SOLO = 3D 02
PH_KIT_BLEND = 3E 02
PH_KIT_HELD = 3F 02
PH_KIT_SOLO = 40 02
PH_PRICE_BLEND = 41 02
PH_PRICE_HELD = 42 02
PH_PRICE_SOLO = 43 02
PH_LOT_BLEND = 44 02
PH_LOT_HELD = 45 02
PH_LOT_SOLO = 46 02
PH_GOAT_BLEND = 47 02
PH_GOAT_HELD = 48 02
PH_GOAT_SOLO = 49 02
PH_THOUGHT_BLEND = 4A 02
PH_THOUGHT_HELD = 4B 02
PH_THOUGHT_SOLO = 4C 02
PH_CHOICE_BLEND = 4D 02
PH_CHOICE_HELD = 4E 02
PH_CHOICE_SOLO = 4F 02
PH_MOUTH_BLEND = 50 02
PH_MOUTH_HELD = 51 02
PH_MOUTH_SOLO = 52 02
PH_FOOT_BLEND = 53 02
PH_FOOT_HELD = 54 02
PH_FOOT_SOLO = 55 02
PH_GOOSE_BLEND = 56 02
PH_GOOSE_HELD = 57 02
PH_GOOSE_SOLO = 58 02
PH_STRUT_BLEND = 59 02
PH_STRUT_HELD = 5A 02
PH_STRUT_SOLO = 5B 02
PH_CURE_BLEND = 5C 02
PH_CURE_HELD = 5D 02
PH_CURE_SOLO = 5E 02
PH_NURSE_BLEND = 5F 02
PH_NURSE_HELD = 60 02
PH_NURSE_SOLO = 61 02

A_BUTTON = 80 F8 00
B_BUTTON = 80 F8 01
L_BUTTON = 80 F8 02
R_BUTTON = 80 F8 03
START_BUTTON = 80 F8 04
SELECT_BUTTON = 80 F8 05
DPAD_UP = 80 F8 06
DPAD_DOWN = 80 F8 07
DPAD_LEFT = 80 F8 08
DPAD_RIGHT = 80 F8 09
DPAD_UPDOWN = 80 F8 0A
DPAD_LEFTRIGHT = 80 F8 0B
DPAD_NONE = 80 F8 0C

UP_ARROW_2 = 80 F9 00
DOWN_ARROW_2 = 80 F9 01
LEFT_ARROW_2 = 80 F9 02
RIGHT_ARROW_2 = 80 F9 03
PLUS = 80 F9 04
LV_2 = 80 F9 05
PP = 80 F9 06
ID = 80 F9 07
NO = 80 F9 08
UNDERSCORE = 80 F9 09
CIRCLE_1 = 80 F9 0A
CIRCLE_2 = 80 F9 0B
CIRCLE_3 = 80 F9 0C
CIRCLE_4 = 80 F9 0D
CIRCLE_5 = 80 F9 0E
CIRCLE_6 = 80 F9 0F
CIRCLE_7 = 80 F9 10
CIRCLE_8 = 80 F9 11
CIRCLE_9 = 80 F9 12
ROUND_LEFT_PAREN = 80 F9 13
ROUND_RIGHT_PAREN = 80 F9 14
CIRCLE_DOT = 80 F9 15
TRIANGLE = 80 F9 16
BIG_MULT_X = 80 F9 17

EMOJI_UNDERSCORE = 80 F9 D0
EMOJI_PIPE = 80 F9 D1
EMOJI_HIGHBAR = 80 F9 D2
EMOJI_TILDE = 80 F9 D3
EMOJI_LEFT_PAREN = 80 F9 D4
EMOJI_RIGHT_PAREN = 80 F9 D5
EMOJI_UNION = F9 D6 @ ⊂
EMOJI_GREATER_THAN = 80 F9 D7
EMOJI_LEFT_EYE = 80 F9 D8
EMOJI_RIGHT_EYE = 80 F9 D9
EMOJI_AT = 80 F9 DA
EMOJI_SEMICOLON = 80 F9 DB
EMOJI_PLUS = 80 F9 DC
EMOJI_MINUS = 80 F9 DD
EMOJI_EQUALS = 80 F9 DE
EMOJI_SPIRAL = 80 F9 DF
EMOJI_TONGUE = 80 F9 E0
EMOJI_TRIANGLE_OUTLINE = 80 F9 E1
EMOJI_ACUTE = 80 F9 E2
EMOJI_GRAVE = 80 F9 E3
EMOJI_CIRCLE = 80 F9 E4
EMOJI_TRIANGLE = 80 F9 E5
EMOJI_SQUARE = 80 F9 E6
EMOJI_HEART = 80 F9 E7
EMOJI_MOON = 80 F9 E8
EMOJI_NOTE = 80 F9 E9
EMOJI_BALL = 80 F9 EA
EMOJI_BOLT = 80 F9 EB
EMOJI_LEAF = 80 F9 EC
EMOJI_FIRE = 80 F9 ED
EMOJI_WATER = 80 F9 EE
EMOJI_LEFT_FIST = 80 F9 EF
EMOJI_RIGHT_FIST = 80 F9 F0
EMOJI_BIGWHEEL = 80 F9 F1
EMOJI_SMALLWHEEL = 80 F9 F2
EMOJI_SPHERE = 80 F9 F3
EMOJI_IRRITATED = 80 F9 F4
EMOJI_MISCHIEVOUS = 80 F9 F5
EMOJI_HAPPY = 80 F9 F6
EMOJI_ANGRY = 80 F9 F7
EMOJI_SURPRISED = 80 F9 F8
EMOJI_BIGSMILE = 80 F9 F9
EMOJI_EVIL = 80 F9 FA
EMOJI_TIRED = 80 F9 FB
EMOJI_NEUTRAL = 80 F9 FC
EMOJI_SHOCKED = 80 F9 FD
EMOJI_BIGANGER = 80 F9 FE

'\l' = FA @ scroll up window text
'\p' = FB @ new paragraph
'\n' = FE @ new line

@ Chinese (GB2312) character mappings
@ Auto-generated - do not edit manually
@ 6763 hanzi + 498 punctuation/symbols = 7261 total (184 conflicts skipped)
@ CHN control code (FC 19) switches to Chinese rendering mode

'、' = 80 A1 A2
'・' = 80 A1 A4
'ˉ' = 80 A1 A5
'ˇ' = 80 A1 A6
'¨' = 80 A1 A7
'〃' = 80 A1 A8
'々' = 80 A1 A9
'―' = 80 A1 AA
'～' = 80 A1 AB
'‖' = 80 A1 AC
'〔' = 80 A1 B2
'〕' = 80 A1 B3
'〈' = 80 A1 B4
'〉' = 80 A1 B5
'《' = 80 A1 B6
'》' = 80 A1 B7
'「' = 80 A1 B8
'」' = 80 A1 B9
'『' = 80 A1 BA
'』' = 80 A1 BB
'〖' = 80 A1 BC
'〗' = 80 A1 BD
'【' = 80 A1 BE
'】' = 80 A1 BF
'±' = 80 A1 C0
'÷' = 80 A1 C2
'∶' = 80 A1 C3
'∧' = 80 A1 C4
'∨' = 80 A1 C5
'∑' = 80 A1 C6
'∏' = 80 A1 C7
'∪' = 80 A1 C8
'∩' = 80 A1 C9
'∈' = 80 A1 CA
'∷' = 80 A1 CB
'√' = 80 A1 CC
'⊥' = 80 A1 CD
'∥' = 80 A1 CE
'∠' = 80 A1 CF
'⌒' = 80 A1 D0
'⊙' = 80 A1 D1
'∫' = 80 A1 D2
'∮' = 80 A1 D3
'≡' = 80 A1 D4
'≌' = 80 A1 D5
'≈' = 80 A1 D6
'∽' = 80 A1 D7
'∝' = 80 A1 D8
'≠' = 80 A1 D9
'≮' = 80 A1 DA
'≯' = 80 A1 DB
'≤' = 80 A1 DC
'≥' = 80 A1 DD
'∞' = 80 A1 DE
'∵' = 80 A1 DF
'∴' = 80 A1 E0
'°' = 80 A1 E3
'′' = 80 A1 E4
'″' = 80 A1 E5
'℃' = 80 A1 E6
'＄' = 80 A1 E7
'¤' = 80 A1 E8
'￠' = 80 A1 E9
'￡' = 80 A1 EA
'‰' = 80 A1 EB
'§' = 80 A1 EC
'№' = 80 A1 ED
'☆' = 80 A1 EE
'★' = 80 A1 EF
'○' = 80 A1 F0
'●' = 80 A1 F1
'◎' = 80 A1 F2
'◇' = 80 A1 F3
'◆' = 80 A1 F4
'□' = 80 A1 F5
'■' = 80 A1 F6
'△' = 80 A1 F7
'▲' = 80 A1 F8
'※' = 80 A1 F9
'→' = 80 A1 FA
'←' = 80 A1 FB
'↑' = 80 A1 FC
'↓' = 80 A1 FD
'〓' = 80 A1 FE
'⒈' = 80 A2 B1
'⒉' = 80 A2 B2
'⒊' = 80 A2 B3
'⒋' = 80 A2 B4
'⒌' = 80 A2 B5
'⒍' = 80 A2 B6
'⒎' = 80 A2 B7
'⒏' = 80 A2 B8
'⒐' = 80 A2 B9
'⒑' = 80 A2 BA
'⒒' = 80 A2 BB
'⒓' = 80 A2 BC
'⒔' = 80 A2 BD
'⒕' = 80 A2 BE
'⒖' = 80 A2 BF
'⒗' = 80 A2 C0
'⒘' = 80 A2 C1
'⒙' = 80 A2 C2
'⒚' = 80 A2 C3
'⒛' = 80 A2 C4
'⑴' = 80 A2 C5
'⑵' = 80 A2 C6
'⑶' = 80 A2 C7
'⑷' = 80 A2 C8
'⑸' = 80 A2 C9
'⑹' = 80 A2 CA
'⑺' = 80 A2 CB
'⑻' = 80 A2 CC
'⑼' = 80 A2 CD
'⑽' = 80 A2 CE
'⑾' = 80 A2 CF
'⑿' = 80 A2 D0
'⒀' = 80 A2 D1
'⒁' = 80 A2 D2
'⒂' = 80 A2 D3
'⒃' = 80 A2 D4
'⒄' = 80 A2 D5
'⒅' = 80 A2 D6
'⒆' = 80 A2 D7
'⒇' = 80 A2 D8
'①' = 80 A2 D9
'②' = 80 A2 DA
'③' = 80 A2 DB
'④' = 80 A2 DC
'⑤' = 80 A2 DD
'⑥' = 80 A2 DE
'⑦' = 80 A2 DF
'⑧' = 80 A2 E0
'⑨' = 80 A2 E1
'⑩' = 80 A2 E2
'㈠' = 80 A2 E5
'㈡' = 80 A2 E6
'㈢' = 80 A2 E7
'㈣' = 80 A2 E8
'㈤' = 80 A2 E9
'㈥' = 80 A2 EA
'㈦' = 80 A2 EB
'㈧' = 80 A2 EC
'㈨' = 80 A2 ED
'㈩' = 80 A2 EE
'Ⅰ' = 80 A2 F1
'Ⅱ' = 80 A2 F2
'Ⅲ' = 80 A2 F3
'Ⅳ' = 80 A2 F4
'Ⅴ' = 80 A2 F5
'Ⅵ' = 80 A2 F6
'Ⅶ' = 80 A2 F7
'Ⅷ' = 80 A2 F8
'Ⅸ' = 80 A2 F9
'Ⅹ' = 80 A2 FA
'Ⅺ' = 80 A2 FB
'Ⅻ' = 80 A2 FC
'＂' = 80 A3 A2
'＃' = 80 A3 A3
'￥' = 80 A3 A4
'％' = 80 A3 A5
'＆' = 80 A3 A6
'＇' = 80 A3 A7
'（' = 80 A3 A8
'）' = 80 A3 A9
'＊' = 80 A3 AA
'＋' = 80 A3 AB
'，' = 80 A3 AC
'－' = 80 A3 AD
'．' = 80 A3 AE
'／' = 80 A3 AF
'０' = 80 A3 B0
'１' = 80 A3 B1
'２' = 80 A3 B2
'３' = 80 A3 B3
'４' = 80 A3 B4
'５' = 80 A3 B5
'６' = 80 A3 B6
'７' = 80 A3 B7
'８' = 80 A3 B8
'９' = 80 A3 B9
'：' = 80 A3 BA
'；' = 80 A3 BB
'＜' = 80 A3 BC
'＝' = 80 A3 BD
'＞' = 80 A3 BE
'＠' = 80 A3 C0
'Ａ' = 80 A3 C1
'Ｂ' = 80 A3 C2
'Ｃ' = 80 A3 C3
'Ｄ' = 80 A3 C4
'Ｅ' = 80 A3 C5
'Ｆ' = 80 A3 C6
'Ｇ' = 80 A3 C7
'Ｈ' = 80 A3 C8
'Ｉ' = 80 A3 C9
'Ｊ' = 80 A3 CA
'Ｋ' = 80 A3 CB
'Ｌ' = 80 A3 CC
'Ｍ' = 80 A3 CD
'Ｎ' = 80 A3 CE
'Ｏ' = 80 A3 CF
'Ｐ' = 80 A3 D0
'Ｑ' = 80 A3 D1
'Ｒ' = 80 A3 D2
'Ｓ' = 80 A3 D3
'Ｔ' = 80 A3 D4
'Ｕ' = 80 A3 D5
'Ｖ' = 80 A3 D6
'Ｗ' = 80 A3 D7
'Ｘ' = 80 A3 D8
'Ｙ' = 80 A3 D9
'Ｚ' = 80 A3 DA
'［' = 80 A3 DB
'＼' = 80 A3 DC
'］' = 80 A3 DD
'＾' = 80 A3 DE
'＿' = 80 A3 DF
'｀' = 80 A3 E0
'ａ' = 80 A3 E1
'ｂ' = 80 A3 E2
'ｃ' = 80 A3 E3
'ｄ' = 80 A3 E4
'ｅ' = 80 A3 E5
'ｆ' = 80 A3 E6
'ｇ' = 80 A3 E7
'ｈ' = 80 A3 E8
'ｉ' = 80 A3 E9
'ｊ' = 80 A3 EA
'ｋ' = 80 A3 EB
'ｌ' = 80 A3 EC
'ｍ' = 80 A3 ED
'ｎ' = 80 A3 EE
'ｏ' = 80 A3 EF
'ｐ' = 80 A3 F0
'ｑ' = 80 A3 F1
'ｒ' = 80 A3 F2
'ｓ' = 80 A3 F3
'ｔ' = 80 A3 F4
'ｕ' = 80 A3 F5
'ｖ' = 80 A3 F6
'ｗ' = 80 A3 F7
'ｘ' = 80 A3 F8
'ｙ' = 80 A3 F9
'ｚ' = 80 A3 FA
'｛' = 80 A3 FB
'｜' = 80 A3 FC
'｝' = 80 A3 FD
'￣' = 80 A3 FE
'ゎ' = 80 A4 EE
'ゐ' = 80 A4 F0
'ゑ' = 80 A4 F1
'ヮ' = 80 A5 EE
'ヰ' = 80 A5 F0
'ヱ' = 80 A5 F1
'ヴ' = 80 A5 F4
'ヵ' = 80 A5 F5
'ヶ' = 80 A5 F6
'Α' = 80 A6 A1
'Β' = 80 A6 A2
'Γ' = 80 A6 A3
'Δ' = 80 A6 A4
'Ε' = 80 A6 A5
'Ζ' = 80 A6 A6
'Η' = 80 A6 A7
'Θ' = 80 A6 A8
'Ι' = 80 A6 A9
'Κ' = 80 A6 AA
'Λ' = 80 A6 AB
'Μ' = 80 A6 AC
'Ν' = 80 A6 AD
'Ξ' = 80 A6 AE
'Ο' = 80 A6 AF
'Π' = 80 A6 B0
'Ρ' = 80 A6 B1
'Σ' = 80 A6 B2
'Τ' = 80 A6 B3
'Υ' = 80 A6 B4
'Φ' = 80 A6 B5
'Χ' = 80 A6 B6
'Ψ' = 80 A6 B7
'Ω' = 80 A6 B8
'α' = 80 A6 C1
'β' = 80 A6 C2
'γ' = 80 A6 C3
'δ' = 80 A6 C4
'ε' = 80 A6 C5
'ζ' = 80 A6 C6
'η' = 80 A6 C7
'θ' = 80 A6 C8
'ι' = 80 A6 C9
'κ' = 80 A6 CA
'λ' = 80 A6 CB
'μ' = 80 A6 CC
'ν' = 80 A6 CD
'ξ' = 80 A6 CE
'ο' = 80 A6 CF
'π' = 80 A6 D0
'ρ' = 80 A6 D1
'σ' = 80 A6 D2
'τ' = 80 A6 D3
'υ' = 80 A6 D4
'φ' = 80 A6 D5
'χ' = 80 A6 D6
'ψ' = 80 A6 D7
'ω' = 80 A6 D8
'А' = 80 A7 A1
'Б' = 80 A7 A2
'В' = 80 A7 A3
'Г' = 80 A7 A4
'Д' = 80 A7 A5
'Е' = 80 A7 A6
'Ё' = 80 A7 A7
'Ж' = 80 A7 A8
'З' = 80 A7 A9
'И' = 80 A7 AA
'Й' = 80 A7 AB
'К' = 80 A7 AC
'Л' = 80 A7 AD
'М' = 80 A7 AE
'Н' = 80 A7 AF
'О' = 80 A7 B0
'П' = 80 A7 B1
'Р' = 80 A7 B2
'С' = 80 A7 B3
'Т' = 80 A7 B4
'У' = 80 A7 B5
'Ф' = 80 A7 B6
'Х' = 80 A7 B7
'Ц' = 80 A7 B8
'Ч' = 80 A7 B9
'Ш' = 80 A7 BA
'Щ' = 80 A7 BB
'Ъ' = 80 A7 BC
'Ы' = 80 A7 BD
'Ь' = 80 A7 BE
'Э' = 80 A7 BF
'Ю' = 80 A7 C0
'Я' = 80 A7 C1
'а' = 80 A7 D1
'б' = 80 A7 D2
'в' = 80 A7 D3
'г' = 80 A7 D4
'д' = 80 A7 D5
'е' = 80 A7 D6
'ё' = 80 A7 D7
'ж' = 80 A7 D8
'з' = 80 A7 D9
'и' = 80 A7 DA
'й' = 80 A7 DB
'к' = 80 A7 DC
'л' = 80 A7 DD
'м' = 80 A7 DE
'н' = 80 A7 DF
'о' = 80 A7 E0
'п' = 80 A7 E1
'р' = 80 A7 E2
'с' = 80 A7 E3
'т' = 80 A7 E4
'у' = 80 A7 E5
'ф' = 80 A7 E6
'х' = 80 A7 E7
'ц' = 80 A7 E8
'ч' = 80 A7 E9
'ш' = 80 A7 EA
'щ' = 80 A7 EB
'ъ' = 80 A7 EC
'ы' = 80 A7 ED
'ь' = 80 A7 EE
'э' = 80 A7 EF
'ю' = 80 A7 F0
'я' = 80 A7 F1
'ā' = 80 A8 A1
'ǎ' = 80 A8 A3
'ē' = 80 A8 A5
'ě' = 80 A8 A7
'ī' = 80 A8 A9
'ǐ' = 80 A8 AB
'ō' = 80 A8 AD
'ǒ' = 80 A8 AF
'ū' = 80 A8 B1
'ǔ' = 80 A8 B3
'ǖ' = 80 A8 B5
'ǘ' = 80 A8 B6
'ǚ' = 80 A8 B7
'ǜ' = 80 A8 B8
'ㄅ' = 80 A8 C5
'ㄆ' = 80 A8 C6
'ㄇ' = 80 A8 C7
'ㄈ' = 80 A8 C8
'ㄉ' = 80 A8 C9
'ㄊ' = 80 A8 CA
'ㄋ' = 80 A8 CB
'ㄌ' = 80 A8 CC
'ㄍ' = 80 A8 CD
'ㄎ' = 80 A8 CE
'ㄏ' = 80 A8 CF
'ㄐ' = 80 A8 D0
'ㄑ' = 80 A8 D1
'ㄒ' = 80 A8 D2
'ㄓ' = 80 A8 D3
'ㄔ' = 80 A8 D4
'ㄕ' = 80 A8 D5
'ㄖ' = 80 A8 D6
'ㄗ' = 80 A8 D7
'ㄘ' = 80 A8 D8
'ㄙ' = 80 A8 D9
'ㄚ' = 80 A8 DA
'ㄛ' = 80 A8 DB
'ㄜ' = 80 A8 DC
'ㄝ' = 80 A8 DD
'ㄞ' = 80 A8 DE
'ㄟ' = 80 A8 DF
'ㄠ' = 80 A8 E0
'ㄡ' = 80 A8 E1
'ㄢ' = 80 A8 E2
'ㄣ' = 80 A8 E3
'ㄤ' = 80 A8 E4
'ㄥ' = 80 A8 E5
'ㄦ' = 80 A8 E6
'ㄧ' = 80 A8 E7
'ㄨ' = 80 A8 E8
'ㄩ' = 80 A8 E9
'─' = 80 A9 A4
'━' = 80 A9 A5
'│' = 80 A9 A6
'┃' = 80 A9 A7
'┄' = 80 A9 A8
'┅' = 80 A9 A9
'┆' = 80 A9 AA
'┇' = 80 A9 AB
'┈' = 80 A9 AC
'┉' = 80 A9 AD
'┊' = 80 A9 AE
'┋' = 80 A9 AF
'┌' = 80 A9 B0
'┍' = 80 A9 B1
'┎' = 80 A9 B2
'┏' = 80 A9 B3
'┐' = 80 A9 B4
'┑' = 80 A9 B5
'┒' = 80 A9 B6
'┓' = 80 A9 B7
'└' = 80 A9 B8
'┕' = 80 A9 B9
'┖' = 80 A9 BA
'┗' = 80 A9 BB
'┘' = 80 A9 BC
'┙' = 80 A9 BD
'┚' = 80 A9 BE
'┛' = 80 A9 BF
'├' = 80 A9 C0
'┝' = 80 A9 C1
'┞' = 80 A9 C2
'┟' = 80 A9 C3
'┠' = 80 A9 C4
'┡' = 80 A9 C5
'┢' = 80 A9 C6
'┣' = 80 A9 C7
'┤' = 80 A9 C8
'┥' = 80 A9 C9
'┦' = 80 A9 CA
'┧' = 80 A9 CB
'┨' = 80 A9 CC
'┩' = 80 A9 CD
'┪' = 80 A9 CE
'┫' = 80 A9 CF
'┬' = 80 A9 D0
'┭' = 80 A9 D1
'┮' = 80 A9 D2
'┯' = 80 A9 D3
'┰' = 80 A9 D4
'┱' = 80 A9 D5
'┲' = 80 A9 D6
'┳' = 80 A9 D7
'┴' = 80 A9 D8
'┵' = 80 A9 D9
'┶' = 80 A9 DA
'┷' = 80 A9 DB
'┸' = 80 A9 DC
'┹' = 80 A9 DD
'┺' = 80 A9 DE
'┻' = 80 A9 DF
'┼' = 80 A9 E0
'┽' = 80 A9 E1
'┾' = 80 A9 E2
'┿' = 80 A9 E3
'╀' = 80 A9 E4
'╁' = 80 A9 E5
'╂' = 80 A9 E6
'╃' = 80 A9 E7
'╄' = 80 A9 E8
'╅' = 80 A9 E9
'╆' = 80 A9 EA
'╇' = 80 A9 EB
'╈' = 80 A9 EC
'╉' = 80 A9 ED
'╊' = 80 A9 EE
'╋' = 80 A9 EF
'啊' = 80 B0 A1
'阿' = 80 B0 A2
'埃' = 80 B0 A3
'挨' = 80 B0 A4
'哎' = 80 B0 A5
'唉' = 80 B0 A6
'哀' = 80 B0 A7
'皑' = 80 B0 A8
'癌' = 80 B0 A9
'蔼' = 80 B0 AA
'矮' = 80 B0 AB
'艾' = 80 B0 AC
'碍' = 80 B0 AD
'爱' = 80 B0 AE
'隘' = 80 B0 AF
'鞍' = 80 B0 B0
'氨' = 80 B0 B1
'安' = 80 B0 B2
'俺' = 80 B0 B3
'按' = 80 B0 B4
'暗' = 80 B0 B5
'岸' = 80 B0 B6
'胺' = 80 B0 B7
'案' = 80 B0 B8
'肮' = 80 B0 B9
'昂' = 80 B0 BA
'盎' = 80 B0 BB
'凹' = 80 B0 BC
'敖' = 80 B0 BD
'熬' = 80 B0 BE
'翱' = 80 B0 BF
'袄' = 80 B0 C0
'傲' = 80 B0 C1
'奥' = 80 B0 C2
'懊' = 80 B0 C3
'澳' = 80 B0 C4
'芭' = 80 B0 C5
'捌' = 80 B0 C6
'扒' = 80 B0 C7
'叭' = 80 B0 C8
'吧' = 80 B0 C9
'笆' = 80 B0 CA
'八' = 80 B0 CB
'疤' = 80 B0 CC
'巴' = 80 B0 CD
'拔' = 80 B0 CE
'跋' = 80 B0 CF
'靶' = 80 B0 D0
'把' = 80 B0 D1
'耙' = 80 B0 D2
'坝' = 80 B0 D3
'霸' = 80 B0 D4
'罢' = 80 B0 D5
'爸' = 80 B0 D6
'白' = 80 B0 D7
'柏' = 80 B0 D8
'百' = 80 B0 D9
'摆' = 80 B0 DA
'佰' = 80 B0 DB
'败' = 80 B0 DC
'拜' = 80 B0 DD
'稗' = 80 B0 DE
'斑' = 80 B0 DF
'班' = 80 B0 E0
'搬' = 80 B0 E1
'扳' = 80 B0 E2
'般' = 80 B0 E3
'颁' = 80 B0 E4
'板' = 80 B0 E5
'版' = 80 B0 E6
'扮' = 80 B0 E7
'拌' = 80 B0 E8
'伴' = 80 B0 E9
'瓣' = 80 B0 EA
'半' = 80 B0 EB
'办' = 80 B0 EC
'绊' = 80 B0 ED
'邦' = 80 B0 EE
'帮' = 80 B0 EF
'梆' = 80 B0 F0
'榜' = 80 B0 F1
'膀' = 80 B0 F2
'绑' = 80 B0 F3
'棒' = 80 B0 F4
'磅' = 80 B0 F5
'蚌' = 80 B0 F6
'镑' = 80 B0 F7
'傍' = 80 B0 F8
'谤' = 80 B0 F9
'苞' = 80 B0 FA
'胞' = 80 B0 FB
'包' = 80 B0 FC
'褒' = 80 B0 FD
'剥' = 80 B0 FE
'薄' = 80 B1 A1
'雹' = 80 B1 A2
'保' = 80 B1 A3
'堡' = 80 B1 A4
'饱' = 80 B1 A5
'宝' = 80 B1 A6
'抱' = 80 B1 A7
'报' = 80 B1 A8
'暴' = 80 B1 A9
'豹' = 80 B1 AA
'鲍' = 80 B1 AB
'爆' = 80 B1 AC
'杯' = 80 B1 AD
'碑' = 80 B1 AE
'悲' = 80 B1 AF
'卑' = 80 B1 B0
'北' = 80 B1 B1
'辈' = 80 B1 B2
'背' = 80 B1 B3
'贝' = 80 B1 B4
'钡' = 80 B1 B5
'倍' = 80 B1 B6
'狈' = 80 B1 B7
'备' = 80 B1 B8
'惫' = 80 B1 B9
'焙' = 80 B1 BA
'被' = 80 B1 BB
'奔' = 80 B1 BC
'苯' = 80 B1 BD
'本' = 80 B1 BE
'笨' = 80 B1 BF
'崩' = 80 B1 C0
'绷' = 80 B1 C1
'甭' = 80 B1 C2
'泵' = 80 B1 C3
'蹦' = 80 B1 C4
'迸' = 80 B1 C5
'逼' = 80 B1 C6
'鼻' = 80 B1 C7
'比' = 80 B1 C8
'鄙' = 80 B1 C9
'笔' = 80 B1 CA
'彼' = 80 B1 CB
'碧' = 80 B1 CC
'蓖' = 80 B1 CD
'蔽' = 80 B1 CE
'毕' = 80 B1 CF
'毙' = 80 B1 D0
'毖' = 80 B1 D1
'币' = 80 B1 D2
'庇' = 80 B1 D3
'痹' = 80 B1 D4
'闭' = 80 B1 D5
'敝' = 80 B1 D6
'弊' = 80 B1 D7
'必' = 80 B1 D8
'辟' = 80 B1 D9
'壁' = 80 B1 DA
'臂' = 80 B1 DB
'避' = 80 B1 DC
'陛' = 80 B1 DD
'鞭' = 80 B1 DE
'边' = 80 B1 DF
'编' = 80 B1 E0
'贬' = 80 B1 E1
'扁' = 80 B1 E2
'便' = 80 B1 E3
'变' = 80 B1 E4
'卞' = 80 B1 E5
'辨' = 80 B1 E6
'辩' = 80 B1 E7
'辫' = 80 B1 E8
'遍' = 80 B1 E9
'标' = 80 B1 EA
'彪' = 80 B1 EB
'膘' = 80 B1 EC
'表' = 80 B1 ED
'鳖' = 80 B1 EE
'憋' = 80 B1 EF
'别' = 80 B1 F0
'瘪' = 80 B1 F1
'彬' = 80 B1 F2
'斌' = 80 B1 F3
'濒' = 80 B1 F4
'滨' = 80 B1 F5
'宾' = 80 B1 F6
'摈' = 80 B1 F7
'兵' = 80 B1 F8
'冰' = 80 B1 F9
'柄' = 80 B1 FA
'丙' = 80 B1 FB
'秉' = 80 B1 FC
'饼' = 80 B1 FD
'炳' = 80 B1 FE
'病' = 80 B2 A1
'并' = 80 B2 A2
'玻' = 80 B2 A3
'菠' = 80 B2 A4
'播' = 80 B2 A5
'拨' = 80 B2 A6
'钵' = 80 B2 A7
'波' = 80 B2 A8
'博' = 80 B2 A9
'勃' = 80 B2 AA
'搏' = 80 B2 AB
'铂' = 80 B2 AC
'箔' = 80 B2 AD
'伯' = 80 B2 AE
'帛' = 80 B2 AF
